Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
K2-401 b,14,06/12/2024 04:52,06/12/2024 05:49,06/12/2024 06:46,01:54,10650.703,10650.743,10650.782,56,63,65,132,157,189,-1.6,-0.7,0.3,10:19:57.02 +03:57:17.38,0.94,1,6.293099,0.000707,2457906.953,0.006666,,100,14,02:41,06:56,25,156
K2-131 b,12.1,06/12/2024 05:24,06/12/2024 05:54,06/12/2024 06:24,01:00,10650.725,10650.746,10650.767,32,37,42,125,132,139,-3,-2.5,-2,12:11:00.34 -09:45:54.86,0.76,1,0.36930572,7.68E-06,2459280.989,0.000638,,100,22,05:12,06:56,25,126
K2-137 b,15.9,06/12/2024 05:57,06/12/2024 06:16,06/12/2024 06:34,00:38,10650.748,10650.761,10650.774,38,41,44,126,130,135,-2.7,-2.4,-2.1,12:27:28.90 -06:11:42.78,0.4,1,0.179715,1.00E-06,2457583.024,0.0004,,100,37,05:16,06:56,25,125
TOI-561 b,10.3,06/12/2024 05:45,06/12/2024 06:18,06/12/2024 06:50,01:05,10650.74,10650.762,10650.785,67,67,65,168,189,208,-0.3,0.2,0.8,09:52:44.44 +06:12:57.97,0.29,1,0.4465713,6.00E-07,2460285.469,0.001603,,100,55,04:43,06:56,25,163
K2-238 b,14,05/12/2024 19:24,05/12/2024 21:04,05/12/2024 22:43,03:20,10650.308,10650.377,10650.447,54,46,29,180,217,241,0,1.7,3.3,23:10:49.04 -07:51:27.21,7.4,1,3.2047072,2.30E-06,2460227.357,0.00175,,99,12,19:09,22:41,21,38
TOI-4603 b,9.2,05/12/2024 21:20,05/12/2024 22:41,06/12/2024 00:03,02:44,10650.389,10650.445,10650.502,30,47,65,80,89,102,-4.5,-3.1,-1.7,05:35:27.82 +21:17:39.27,1.1,1,7.2455997,1.74E-05,2460273.681,0.00138,,99,50,21:22,01:06,21,135
K2-57 b,14.4,05/12/2024 19:04,05/12/2024 20:17,05/12/2024 21:29,02:25,10650.295,10650.345,10650.395,47,44,35,180,205,225,0,1.2,2.4,22:50:46.04 -14:04:12.00,1.3,1,9.0074,0.0011,2456984.334,0.0037,,97,2,19:09,21:57,21,31
K2-117 b,14.6,06/12/2024 05:50,06/12/2024 06:25,06/12/2024 06:59,01:09,10650.743,10650.767,10650.791,69,64,58,212,229,241,0.7,1.3,1.9,08:55:25.38 +10:28:09.18,1.5,1,1.29159723,1.33E-05,2459230.014,0.001329,,95,50,04:29,06:56,25,169
Kepler-1342 b,15.7,05/12/2024 19:16,05/12/2024 20:11,05/12/2024 21:06,01:49,10650.303,10650.341,10650.379,48,38,29,304,305,306,3.3,4.2,5.1,19:48:04.81 +43:25:57.14,0.29,1,2.21571296,7.63E-06,2454964.821,0.00298,,93,4,19:09,20:58,21,68
EPIC 201427007 b,14.3,06/12/2024 04:43,06/12/2024 05:37,06/12/2024 06:31,01:48,10650.696,10650.734,10650.771,28,39,49,108,118,131,-3.8,-2.9,-2,12:18:24.51 -00:33:04.64,0.2,1,0.72091,0.00014,2457625.794,0.0027,Duration estimated. ,93,2,04:50,06:56,25,129
